title,author,price
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥94.30
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想书,不详,¥61.81
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,马塔伊·米赫尔等,¥76.73
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥95.13
 【2022新版】Java语言面向对象程序设计 第3版 第三版 微课视频版 马俊 曾述宾 高等学校计算机类书籍 清华大学,清华大学出版社,¥66.90
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,不详,¥20.00
 【直发】Linux操作系统与服务配置 “十三五”高等职业教育规划教材 中国铁道出版社 严学军著 计算机类书籍,其他,¥51.00
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类书籍 C语言基本语法编程基础 电子工业【可开发票】,电子工业出版社,¥55.99
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥93.63
 正版 数据结构：微课版 第3版第三版 李筠 清华大学出版社 计算机类数据结构高等职业教育教材 2021新书 计算机类书籍,清华大学出版社,¥67.00
 Java EE H框架应用开发项目教程 彭之军 书店 计算机类书籍,其他,¥38.00
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥56.00
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,不详,¥34.46
 微信公众平台应用开发实战(第2版) 微信开发/平台开发/计算机类书籍,钟志勇,¥51.00
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类教材书籍 C语言基本语法编程基础 电子工业出版社 9787,电子工业出版社,¥48.86
